Company,Facility,Total Stationary Combusion,Total Industrial Process,Total Flaring,Total Venting,Total Fugitive,Total On-site Transportation,Total Waste,Total Wastewater,Total Combined Industrial Process and Stationary Combustion,Total Emissions (tonnes CO2e)
Chinook Energy Inc.,"BC Aggregated Facilities (E < 10,000 tCO2e each)"," 14,407 ", -   ," 2,078 "," 14,475 "," 10,926 ", -   , -   , -   , -   ," 41,885 "
CIPA Lumber Co. Ltd.,CIPA Lumber Facility," 25,939 ", -   , -   , -   , -   , 814 , -   , -   , -   ," 26,753 "
City of Vancouver,Vancouver Landfill, 91 , -   , -   , -   , -   ," 2,353 "," 7,561 ", -   , -   ," 10,005 "
Coastland Wood Industries Ltd.,Annacis Division," 13,050 ", -   , -   , -   , -   , 100 , -   , -   , -   ," 13,150 "
Conifex Inc.,Conifex Inc. Facility," 8,801 ", -   , -   , -   , -   ," 1,957 ", -   , -   , -   ," 10,758 "
ConocoPhillips Canada Resources Corp.,Boulder Comp Station D-072-G," 18,217 ", -   , 179 , -   ," 1,967 ", -   , -   , -   , -   ," 20,364 "
ConocoPhillips Canada Resources Corp.,Brassey Comp Station D-013-F," 18,998 ", -   , -   , 145 ," 4,416 ", -   , -   , -   , -   ," 23,558 "
ConocoPhillips Canada Resources Corp.,Elmworth Comp Station D-039-G," 18,085 ", -   , -   , 120 ," 3,254 ", -   , -   , -   , -   ," 21,458 "
ConocoPhillips Canada Resources Corp.,Gutah Comp Station A-054-K," 8,258 ", -   , 67 , -   ," 1,886 ", -   , -   , -   , -   ," 10,211 "
ConocoPhillips Canada Resources Corp.,Hiding Comp Station B-053-A," 19,916 ", -   , -   , 370 ," 3,431 ", -   , -   , -   , -   ," 23,717 "
ConocoPhillips Canada Resources Corp.,Noel Sweet Gas Plant," 46,498 ", -   , 341 , -   , 218 , -   , -   , -   , -   ," 47,058 "
ConocoPhillips Canada Resources Corp.,Ring Border Sweet Gas Plant," 13,507 ", -   ," 2,730 ", 90 ," 2,504 ", -   , -   , -   , -   ," 18,831 "
ConocoPhillips Canada Resources Corp.,"BC Aggregated Facilities (E < 10,000 tCO2e each)"," 122,767 ", -   ," 5,781 "," 98,255 "," 84,183 ", -   , -   , -   , -   ," 310,987 "
Crew Energy Inc.,"BC Aggregated Facilities (E < 10,000 tCO2e each)"," 19,802 ", -   ," 2,756 "," 10,924 "," 8,261 ", -   , -   , -   , -   ," 41,743 "
Devon Canada Corporation,Arl Komie C-100-G/094-O-08," 11,019 ", -   , 874 , 640 ," 1,723 ", -   , -   , -   , -   ," 14,256 "
Devon Canada Corporation,Martin Creek A-033," 7,865 ", -   , 16 ," 1,129 "," 1,413 ", -   , -   , -   , -   ," 10,422 "
Devon Canada Corporation,Stoddart 14-34," 6,921 ", -   ," 1,377 ", 962 , 874 , -   , -   , -   , -   ," 10,133 "
Devon Canada Corporation,Tommy Lakes C-019," 15,324 ", -   , 573 ," 1,179 "," 1,127 ", -   , -   , -   , -   ," 18,203 "
Devon Canada Corporation,Wargen D-056," 17,359 ", -   , 29 ," 1,912 "," 1,877 ", -   , -   , -   , -   ," 21,178 "
Devon Canada Corporation,"BC Aggregated Facilities (E < 10,000 tCO2e each)"," 70,350 ", -   ," 9,573 "," 16,712 "," 16,553 ", -   , -   , -   , -   ," 113,189 "
Domtar Inc.,Kamloops Mill," 107,704 "," 8,378 ", -   , -   , -   ," 3,325 ", 907 , -   , -   ," 120,314 "
Dunkley Lumber Ltd.,Dunkley Lumber Facility," 18,097 ", -   , -   , -   , -   ," 2,476 ", -   , -   , -   ," 20,573 "
EnCana Corporation,Cabin Comp Stn A-052-J," 14,637 ", -   , 24 , 301 ," 2,350 ", -   , -   , -   , -   ," 17,312 "
EnCana Corporation,Cutbank Comp Stn A-038-I," 18,355 ", -   , 18 ," 10,089 "," 2,968 ", -   , -   , -   , -   ," 31,430 "
EnCana Corporation,Cutbank Comp Stn A-062-I," 6,065 ", -   , 42 ," 5,304 ", 208 , -   , -   , -   , -   ," 11,619 "
EnCana Corporation,Cutbank Comp Stn B-100-B," 18,744 ", -   , 14 ," 3,277 "," 2,482 ", -   , -   , -   , -   ," 24,516 "
EnCana Corporation,Cutbank Comp Stn C-029-A," 8,920 ", -   , 41 ," 6,090 "," 2,579 ", -   , -   , -   , -   ," 17,630 "
EnCana Corporation,Cutbank Comp Stn D-073-B," 4,027 ", -   , 22 ," 5,948 "," 2,552 ", -   , -   , -   , -   ," 12,550 "
EnCana Corporation,Dawson Creek Comp Stn 09-15," 19,353 ", -   ," 1,167 "," 6,943 ", 108 , -   , -   , -   , -   ," 27,572 "
EnCana Corporation,Elleh Sweet Gas Plant," 26,506 ", -   , 19 , 77 , 245 , -   , -   , -   , -   ," 26,848 "
EnCana Corporation,Gunnell Comp Stn B-023-F," 30,658 ", -   , 4 , 665 ," 2,666 ", -   , -   , -   , -   ," 33,993 "
EnCana Corporation,Horn River Comp Stn C-067-K," 72,002 ", -   ," 4,525 "," 1,509 "," 3,349 ", -   , -   , -   , -   ," 81,384 "
EnCana Corporation,Hythe Comp Stn A-005-G," 45,940 ", -   , 44 ," 5,722 "," 4,345 ", -   , -   , -   , -   ," 56,051 "
EnCana Corporation,Hythe Comp Stn A-029-H," 18,697 ", -   , 5 ," 6,437 "," 2,582 ", -   , -   , -   , -   ," 27,720 "
EnCana Corporation,Hythe Comp Stn D-019-H," 20,600 ", -   , 8 ," 6,526 ", 875 , -   , -   , -   , -   ," 28,010 "
EnCana Corporation,Hythe Comp Stn D-033-I," 28,348 ", -   , 28 ," 5,724 "," 3,759 ", -   , -   , -   , -   ," 37,859 "
EnCana Corporation,Kelly Comp Stn C-027-B," 15,569 ", -   , 47 , -   ," 1,559 ", -   , -   , -   , -   ," 17,176 "
EnCana Corporation,Midway Comp Stn B-065-B," 16,292 ", -   , 0 , 254 ," 2,149 ", -   , -   , -   , -   ," 18,695 "
EnCana Corporation,Sierra Sour Gas Plant," 92,336 ", -   , 322 ," 37,587 ", 436 , -   , -   , -   , -   ," 130,681 "
EnCana Corporation,Steeprock Sour Gas Plant," 43,604 ", -   ," 4,425 "," 48,777 ", 38 , -   , -   , -   , -   ," 96,844 "
EnCana Corporation,"BC Aggregated Facilities (E < 10,000 tCO2e each)"," 193,462 ", -   ," 66,236 "," 101,507 "," 68,734 ", -   , -   , -   , -   ," 429,939 "
Enerplus Corporation,West Tommy Lakes Booster Station 1 C-028-K," 13,034 ", -   , -   , -   ," 1,275 ", -   , -   , -   , -   ," 14,309 "
Enerplus Corporation,West Tommy Lakes Booster Station 2 C-030-J," 8,680 ", -   , -   , -   ," 1,329 ", -   , -   , -   , -   ," 10,009 "
Enerplus Corporation,West Tommy Lakes Comp Station 3 A-029-I," 12,002 ", -   ," 1,915 ", 55 ," 1,429 ", -   , -   , -   , -   ," 15,402 "
Enerplus Corporation,"BC Aggregated Facilities (E < 10,000 tCO2e each)"," 7,226 ", -   ," 1,398 ", 19 ," 7,842 ", -   , -   , -   , -   ," 16,485 "
EOG Resources Canada Inc.,Gote Comp Stn C-018-B," 10,093 ", -   , 162 ," 3,267 "," 1,091 ", -   , -   , -   , -   ," 14,613 "
EOG Resources Canada Inc.,Maxhamish Comp Stn D-036-I," 16,288 ", -   , 183 ," 6,104 "," 2,420 ", -   , -   , -   , -   ," 24,995 "
EOG Resources Canada Inc.,"BC Aggregated Facilities (E < 10,000 tCO2e each)"," 9,905 ", -   ," 5,138 "," 2,402 "," 3,937 ", -   , -   , -   , -   ," 21,382 "
FMC of Canada Ltd.,FMC of Canada Facility," 18,890 "," 2,086 ", -   , -   , -   , 3 , -   , -   , -   ," 20,979 "
FortisBC Energy (Vancouver Island) Inc.,"V1 Compressor Station, Eagle Mountain"," 27,079 ", -   , -   ," 1,151 ", 369 , -   , -   , -   , -   ," 28,599 "
FortisBC Energy (Vancouver Island) Inc.,"BC Aggregated Facilities (E < 10,000 tCO2e each)"," 8,416 ", -   , -   ," 3,329 "," 7,850 ", -   , -   , -   , -   ," 19,596 "
FortisBC Energy Inc.,"BC Aggregated Facilities (E < 10,000 tCO2e each)"," 14,882 ", -   , 2 ," 13,440 "," 60,541 ", -   , -   , -   , -   ," 88,865 "
Georgia-Pacific Canada LP,Surrey Gypsum Facility," 14,304 ", -   , -   , -   , -   , 100 , -   , -   , -   ," 14,404 "
Gibraltar Mines Ltd.,Gibraltar Mine," 6,797 ", -   , -   , -   , -   ," 47,889 ", -   , -   , -   ," 54,687 "
Graymont Western Canada Inc.,Pavilion Plant, -   , -   , -   , -   , 46 , 725 ," 1,293 ", -   ," 117,894 "," 119,958 "
Greater Vancouver Regional District,Annacis Island Wastewater Treatment Plant," 15,546 ", -   , -   , -   , -   , -   ," 6,385 ", -   , -   ," 21,931 "
Greater Vancouver Regional District,Iona Island Wastewater Treatment Plant," 7,908 ", -   , -   , -   , -   , -   ," 2,566 ", -   , -   ," 10,473 "
Greater Vancouver Sewerage and Drainage District,Metro Vancouver Waste-to-Energy Facility," 291,775 ", -   , -   , -   , -   , -   , -   , -   , -   ," 291,775 "
Harvest Operations Corp.,Hay Oil Battery," 9,373 ", -   ," 5,052 "," 2,170 ", 22 , -   , -   , -   , -   ," 16,618 "
Harvest Operations Corp.,"BC Aggregated Facilities (E < 10,000 tCO2e each)"," 3,400 ", -   ," 2,662 "," 1,566 "," 1,292 ", -   , -   , -   , -   ," 8,920 "
Houweling Nurseries Ltd.,Delta Facility," 14,214 ", -   , -   , -   , -   , 31 , -   , -   , -   ," 14,245 "
Howe Sound Pulp & Paper Corporation,Howe Sound Pulp and Paper Mill," 67,935 "," 9,098 ", -   , -   , -   ," 2,978 "," 38,158 ", -   , -   ," 118,168 "
Husky Oil Operations Limited,Prince George Refinery," 82,273 "," 33,946 "," 8,398 ", 551 , 5 , 152 , -   , -   , -   ," 125,324 "
Husky Oil Operations Limited,Bivouac B-099-H/094-I-08," 13,721 ", -   , 202 , 28 ," 2,566 ", -   , -   , -   , -   ," 16,517 "
Husky Oil Operations Limited,Sierra Gas Plant," 59,343 ", -   ," 2,258 ", -   , 54 , -   , -   , -   , -   ," 61,654 "
Husky Oil Operations Limited,"BC Aggregated Facilities (E < 10,000 tCO2e each)"," 26,543 ", -   ," 10,808 "," 16,835 "," 18,303 ", -   , -   , -   , -   ," 72,488 "
Imperial Metals Corporation,Mount Polley Mine," 1,522 ", -   , -   , -   , 6 ," 42,220 ", -   , -   , -   ," 43,748 "
Imperial Oil Resources,Boundary Lake Gas Plant (BC GP 0045)," 10,334 ", -   , 998 , 647 , 16 , -   , -   , -   , -   ," 11,995 "
Imperial Oil Resources,IMP PAC Boundary (BC BT 0046)," 5,405 ", -   , 272 ," 1,213 "," 3,486 ", -   , -   , -   , -   ," 10,377 "
Imperial Oil Resources,"BC Aggregated Facilities (E < 10,000 tCO2e each)"," 12,699 ", -   ," 12,159 "," 1,347 "," 3,253 ", -   , -   , -   , -   ," 29,459 "
Keyera Corp,Caribou Sour Gas Plant C-004-G," 44,333 ", -   ," 11,265 ", 4 ," 4,595 ", -   , -   , -   , -   ," 60,197 "
Keyera Corp,"BC Aggregated Facilities (E < 10,000 tCO2e each)", 21 , -   , 24 , -   , 702 , -   , -   , -   , -   , 747 
Kruger Products L.P.,Kruger Products Facility," 36,183 ", -   , -   , -   , -   , 639 , -   , -   , -   ," 36,822 "
Lafarge Canada Inc.,Kamloops Plant, -   , -   , -   , -   , 160 , 422 , -   , -   ," 149,955 "," 150,536 "
Lafarge Canada Inc.,Richmond Cement Plant, -   , -   , -   , -   , 903 , 308 , -   , -   ," 707,536 "," 708,746 "
Lantic Inc.,Vancouver Refinery," 26,559 ", -   , -   , -   , -   , 32 , 104 , -   , -   ," 26,694 "
Lehigh Cement,Delta Plant, -   , -   , -   , -   , 914 , 681 , -   , -   ," 731,971 "," 733,566 "
Lone Pine Resources Canada Ltd.,"BC Aggregated Facilities (E < 10,000 tCO2e each)"," 8,141 ", -   , 500 ," 5,616 "," 6,922 ", -   , -   , -   , -   ," 21,179 "
Mackenzie Pulp Mill Corporation,Mackenzie Pulp Mill," 95,983 "," 6,084 ", -   , -   , -   ," 1,395 "," 16,813 ", -   , -   ," 120,275 "
Maxim Power Corp.,Hartland Landfill," 10,102 ", -   , -   , -   , -   , -   , -   , -   , -   ," 10,102 "
Maxim Power Corp.,Vancouver LandFill Delta," 23,087 ", -   , -   , -   , -   , -   , -   , -   , -   ," 23,087 "
Moly-Cop Canada,Moly-Cop Canada Facility," 14,132 ", -   , -   , -   , -   , -   , -   , -   , -   ," 14,132 "
Murphy Oil Company Ltd.,5-1-77-17W6," 69,511 ", -   ," 3,951 ", 12 , -   , -   , -   , -   , -   ," 73,474 "
Murphy Oil Company Ltd.,Tupper A-21-B/093-09-P," 61,816 ", -   , 0 , 111 , 211 , -   , -   , -   , -   ," 62,139 "
Murphy Oil Company Ltd.,"BC Aggregated Facilities (E < 10,000 tCO2e each)", -   , -   ," 22,252 "," 4,043 ", 456 , -   , -   , -   , -   ," 26,751 "
NAL Resources Ltd.,NAL Fireweed C-A-16-A/94-A-13," 9,214 ", -   ," 4,368 ", 857 ," 3,329 ", -   , -   , -   , -   ," 17,767 "
NAL Resources Ltd.,"BC Aggregated Facilities (E < 10,000 tCO2e each)"," 2,485 ", -   ," 1,504 ", -   , 550 , -   , -   , -   , -   ," 4,538 "
Nanaimo Forest Products Ltd.,Harmac Pacific Operations," 23,395 "," 8,588 ", -   , -   , -   ," 2,651 "," 37,621 ", -   , -   ," 72,255 "
Neucel Specialty Cellulose,Neucel Specialty Cellulose Facility, -   ," 159,629 ", -   , -   , -   ," 1,541 ", -   , -   , -   ," 161,170 "
Nexen Inc.,Etsho North Compressor Station," 39,498 ", -   , 556 , 766 ," 1,688 ", -   , -   , -   , -   ," 42,507 "
Nexen Inc.,"BC Aggregated Facilities (E < 10,000 tCO2e each)"," 28,673 ", -   , 170 , 513 ," 1,246 ", -   , -   , -   , -   ," 30,602 "
Northgate Minerals Corporation,Kemess South Mine, -   , -   , -   , -   , -   , -   , -   , -   , -   , 307 
NuVista Energy Ltd.,Black Conroy Comp Stn B-094-J," 8,658 ", -   ," 5,550 ", 76 ," 2,492 ", -   , -   , -   , -   ," 16,776 "
NuVista Energy Ltd.,Martin Creek Sour Gas Plant B-002-E," 16,184 ", -   , 992 ," 1,552 ", 721 , -   , -   , -   , -   ," 19,449 "
NuVista Energy Ltd.,"BC Aggregated Facilities (E < 10,000 tCO2e each)"," 4,805 ", -   , 585 ," 16,591 "," 12,557 ", -   , -   , -   , -   ," 34,538 "
Pacific Northern Gas Ltd.,"BC Aggregated Facilities (E < 10,000 tCO2e each)"," 6,318 ", -   ," 2,617 "," 6,462 "," 16,537 ", -   , -   , -   , -   ," 31,934 "
Pengrowth Energy Corporation,Groundbirch Gas Plant," 11,751 ", -   , 314 , 480 , 678 , -   , -   , -   , -   ," 13,223 "
Pengrowth Energy Corporation,"BC Aggregated Facilities (E < 10,000 tCO2e each)"," 33,638 ", -   ," 2,176 "," 10,400 "," 14,379 ", -   , -   , -   , -   ," 60,592 "
Penn West Petroleum,Firebird Compressor Station BCBT00002487," 10,196 ", -   , 241 ," 1,315 "," 3,280 ", -   , -   , -   , -   ," 15,033 "
Penn West Petroleum,Helmet (West Thet) Battery BCBT00002917," 18,532 ", -   , 59 ," 1,151 "," 21,730 ", -   , -   , -   , -   ," 41,471 "
Penn West Petroleum,Wildboy Gas Plant BCGP00002917," 94,401 ", -   , -   ," 5,911 ", 288 , -   , -   , -   , -   ," 100,599 "
Penn West Petroleum,"BC Aggregated Facilities (E < 10,000 tCO2e each)"," 27,979 ", -   ," 1,898 "," 12,945 "," 20,444 ", -   , -   , -   , -   ," 63,266 "
PetroBakken Energy Ltd.,Petrobank Monias 8-22-82-20," 4,947 ", -   ," 1,041 ", 552 ," 4,949 ", -   , -   , -   , -   ," 11,489 "
PetroBakken Energy Ltd.,"BC Aggregated Facilities (E < 10,000 tCO2e each)"," 7,139 ", -   , 236 ," 5,783 "," 1,127 ", -   , -   , -   , -   ," 14,284 "
Progress Energy Resources Corp.,Blueberry C-29-K/94-A-12," 12,819 ", -   , 398 ," 1,765 ", 530 , -   , -   , -   , -   ," 15,511 "
Progress Energy Resources Corp.,Blueberry D-87-D/94-A-13," 9,255 ", -   , 282 ," 1,353 "," 1,723 ", -   , -   , -   , -   ," 12,613 "
Progress Energy Resources Corp.,Bubbles C-79-A/94-G-8," 9,959 ", -   , -   , 266 , 289 , -   , -   , -   , -   ," 10,514 "
Progress Energy Resources Corp.,ProEx West Beg C-34-C/94-G-1," 18,274 ", -   , -   , -   , 855 , -   , -   , -   , -   ," 19,128 "
Progress Energy Resources Corp.,"BC Aggregated Facilities (E < 10,000 tCO2e each)"," 113,650 ", -   ," 1,823 "," 1,741 "," 11,794 ", -   , -   , -   , -   ," 129,007 "
Quicksilver Resources Canada Inc.,Fortune Creek Compressor Station," 11,897 ", -   ," 1,445 ", -   ," 4,048 ", -   , -   , -   , -   ," 17,389 "
Quicksilver Resources Canada Inc.,"BC Aggregated Facilities (E < 10,000 tCO2e each)", -   , -   , -   , -   ," 1,311 ", -   , -   , -   , -   ," 1,311 "
Quinsam Coal Corporation,Quinsam Coal Mine, 49 , -   , -   , -   ," 11,236 "," 1,597 ", -   , -   , -   ," 12,882 "
Ramshorn Canada Investments Limited,Tattoo Compressor Station," 19,838 ", -   ," 2,656 ", -   , 847 , -   , -   , -   , -   ," 23,342 "
Ramshorn Canada Investments Limited,"BC Aggregated Facilities (E < 10,000 tCO2e each)"," 1,003 ", -   , 11 , 665 , 233 , -   , -   , -   , -   ," 1,911 "
Rio Tinto Alcan,Kitimat Works," 40,206 "," 779,251 ", -   , -   , -   ," 4,040 ", -   , -   , -   ," 823,497 "
Shell Canada Limited,Brassey Gas Processing and Production," 21,892 ", -   , 72 , 206 , 22 , -   , -   , -   , -   ," 22,192 "
Shell Canada Limited,Montney Gas Processing and Production," 105,886 ", -   ," 9,005 "," 4,491 ", 479 , -   , -   , -   , -   ," 119,861 "
Shell Canada Limited,Sundown Gas Processing and Production," 11,031 ", -   , 720 , 113 , 95 , -   , -   , -   , -   ," 11,959 "
Shell Canada Limited,Sunset Gas Processing and Production," 18,838 ", -   ," 2,020 ", 179 , 163 , -   , -   , -   , -   ," 21,201 "
Shell Canada Limited,"BC Aggregated Facilities (E < 10,000 tCO2e each)"," 13,981 ", -   ," 10,293 "," 2,418 "," 6,518 ", -   , -   , -   , -   ," 33,211 "
Spectra Energy Midstream Corporation,Highway Gas Plant," 40,828 ", -   ," 4,927 "," 6,503 ", 1 , -   , -   , -   , -   ," 52,259 "
